id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32584,Downtown DC Private Carriage House,29711,The Remuzzi Brothers,,"Shaw, Logan Circle",38.91139,-77.0208,Entire home/apt,129,2,592,2020-01-25,5.02,2,343
52092,People's Place 2- Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.90879,-77.02403,Entire home/apt,130,4,184,2020-01-27,1.61,3,23
54112,"Luxury DC Apt. Downtown, Logan Circle, 14th Street",253258,Daryl,,"Dupont Circle, Connecticut Avenue/K Street",38.91168,-77.03501,Entire home/apt,195,3,153,2019-11-28,1.35,1,354
57340,Lovely bedroom near U.S. Capitol & Union Station,272903,Channapha,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90519,-76.98855,Private room,73,2,40,2018-10-28,1.26,1,0
62119,Deep in the Woods in Adams Morgan,301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92114,-77.0487,Private room,63,3,266,2020-01-18,2.37,2,288
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY",301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92166,-77.04877,Private room,90,3,101,2019-07-29,1.11,2,235
65024,"Nice looking large room on Rhodeisland avenue, nw",315148,John,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9165,-77.01028,Private room,35,28,6,2020-01-05,0.17,25,195
67483,Charming B & B in Columbia Heights,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93375,-77.02924,Entire home/apt,99,6,155,2019-12-15,1.41,1,339
72454,Modern Charm,100727,Capital Vacation,,"Brightwood Park, Crestwood, Petworth",38.94684,-77.02294,Entire home/apt,221,4,157,2020-02-02,1.44,3,274
78264,Room for 2 with private bathroom,420345,Caterina & Francesco,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91573,-77.00721,Private room,62,1,35,2019-09-28,0.38,1,204
79866,"DC, Near Metro III",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90476,-76.98492,Private room,99,2,10,2016-08-27,0.09,3,365
79867,"DC, Near Metro II",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90467,-76.98627,Private room,99,2,10,2016-09-30,0.10,3,365
93551,Upscale Master Close to Everything,481929,Chris,,"Shaw, Logan Circle",38.91235,-77.01873,Private room,87,3,101,2019-09-25,0.94,4,365
105273,New&Cozy1BR/Central/Great features,528963,Marwa,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92105,-77.03772,Entire home/apt,75,180,8,2013-07-25,0.09,1,365
107801,Heart of D.C. near Union Station!!,445901,DeeDee,,"Union Station, Stanton Park, Kingman Park",38.89768,-76.97113,Entire home/apt,140,2,13,2017-08-09,0.20,1,0
116289,"Unique Takoma DC Townhouse, 3 min walk to Metro",587419,Sharyn,,"Takoma, Brightwood, Manor Park",38.97267,-77.01821,Entire home/apt,118,7,3,2019-07-01,0.03,1,108
116951,Upscale Private Close to Everything,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91703,-77.01672,Private room,75,10,150,2019-11-06,1.42,4,365
124030,Modern Townhouse with Large Backyard!,614408,Adam,,"Shaw, Logan Circle",38.91409,-77.02484,Entire home/apt,150,2,7,2019-04-08,0.10,1,0
145726,Luraloft / Entire Apt,705346,Sakhi,,"Brightwood Park, Crestwood, Petworth",38.94934,-77.02295,Entire home/apt,85,5,103,2019-10-26,0.98,1,333
150109,Great apartment in perfect location,723470,Steffanie,,"Dupont Circle, Connecticut Avenue/K Street",38.915,-77.03853,Entire home/apt,135,3,29,2019-10-13,0.29,1,77
153545,Guest Room 3 miles to  White House,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94437,-77.04345,Private room,49,30,35,2016-12-20,0.34,5,282
160148,"Dupont room; TemPurpedic bed, 3 min 2 metro",767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,Private room,309,30,2,2015-05-20,0.02,4,365
160597,"Charming, great location, parking",49583,Elizabeth,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.9232,-77.10166,Private room,80,3,18,2018-03-29,0.19,2,0
161913,X-tra large suite;3 min Wlk 2 Metro,767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,Private room,99,30,10,2019-07-12,0.43,4,0
174808,Historic American Four Square,835242,Jeffrey,,Historic Anacostia,38.86427,-76.98934,Private room,75,2,38,2019-11-24,0.81,3,177
175581,Entire 1BR Capitol Hill Apartment!,839218,Molly,,"Capitol Hill, Lincoln Park",38.87859,-76.98519,Entire home/apt,130,4,124,2019-08-24,1.20,1,80
175608,People's Place  - Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.90831,-77.02364,Entire home/apt,110,4,182,2020-01-18,1.78,3,36
178395,"Spare Room for Washington,DC Visit or entire house",852801,Allison,,"Takoma, Brightwood, Manor Park",38.96234,-77.01735,Private room,64,1,0,,,2,365
181078,Beautiful Condo in Adams Morgan,867791,Vadim,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92009,-77.04137,Entire home/apt,250,4,82,2019-12-29,0.81,1,335
181455,Sweet English Studio CLEAN/AU/Walk to Metro,667695,Robin,,"Friendship Heights, American University Park, Tenleytown",38.95173,-77.08628,Entire home/apt,80,2,42,2020-01-10,0.61,1,329
184144,"Dupont Circle, Stunning Apt",883385,Pierre,,"Dupont Circle, Connecticut Avenue/K Street",38.91314,-77.04431,Entire home/apt,100,120,7,2016-03-17,0.07,1,358
189961,Private room in Washington D.C.,916824,Kim & Gregg,,"Capitol View, Marshall Heights, Benning Heights",38.88359,-76.92951,Private room,59,1,0,,,1,0
195344,New Luxury Downtown Private Apt.,949856,Nat,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90123,-77.01752,Entire home/apt,149,2,383,2020-02-03,3.71,1,215
196429,"Takoma Garden apt-Lush yard,pets ok",956417,Julia,,"Takoma, Brightwood, Manor Park",38.96995,-77.01984,Entire home/apt,99,2,5,2019-10-25,0.06,1,364
198761,Smack In The Middle of DC,970466,Beulah,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.90962,-77.01017,Private room,50,3,37,2019-11-23,0.36,1,117
201116,Victorian Haven - Private Basement!,983611,Reed,,"Takoma, Brightwood, Manor Park",38.97291,-77.02063,Entire home/apt,90,1,162,2020-01-20,1.58,1,280
204741,Suburbia in the City--Best Value!!!,1005751,Denise,,"Congress Heights, Bellevue, Washington Highlands",38.82771,-76.99404,Private room,35,28,113,2019-11-10,1.10,2,0
205809,Modern home NW DC steps from bus,1012315,Elizabeth,,"Brightwood Park, Crestwood, Petworth",38.9581,-77.02271,Entire home/apt,199,4,13,2019-06-11,0.13,1,270
211986,xtra-large suite in Dupont-- 3 min walk to metro,767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,Private room,269,30,5,2015-09-04,0.07,4,312
223203,ROOM FOR RENT IN A NICE AREA OF DC,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,86,2,6,2019-08-23,0.06,4,365
223922,Private  Retreat. Apartment in DC,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94363,-77.04562,Entire home/apt,109,1,119,2019-12-01,1.16,5,304
246413,Cozy Capitol Hill home near metro,814151,Tiff,,"Capitol Hill, Lincoln Park",38.88535,-76.98183,Entire home/apt,78,2,387,2020-02-19,4.03,2,4
251611,LUXURY LIVING AT A BARGAIN,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,86,2,1,2019-03-10,0.09,4,365
251615,NICE HOUSE IN A VERY NICE NEIGHBORHOOD,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,86,2,5,2019-11-09,0.25,4,339
251619,LUXURY LIVING AT A BARGAIN,1159505,Elizabeth,,"Colonial Village, Shepherd Park, North Portal Estates",38.98853,-77.04441,Private room,74,2,8,2019-08-17,0.10,4,339
252300,"Private Bath, Metro, Capitol@3miles",1323933,Neida,,"Sheridan, Barry Farm, Buena Vista",38.8587,-76.98736,Private room,90,5,8,2019-05-18,0.12,2,364
262629,Guest bedroom and private bath.,36646,Ellen,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.96703,-77.00426,Private room,58,150,32,2019-10-22,0.32,1,326
266852,Private Suite in Capitol Hill Home,1399272,Ken,,"Union Station, Stanton Park, Kingman Park",38.89661,-76.98703,Private room,85,2,707,2020-02-16,7.03,2,259
274737,Georgetown Federal Townhouse,1436380,Angela,,"Georgetown, Burleith/Hillandale",38.91368,-77.07195,Private room,125,3,37,2019-10-23,0.39,3,254
276193,Central spot in the heart of DC  (3),1443163,Dian,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92499,-77.02831,Private room,55,3,85,2020-01-07,1.70,8,287
281806,LOCATION LOCATION LOCATION! 3BR/2FB ! RARELY AVAIL,1468884,Margarita,,"Dupont Circle, Connecticut Avenue/K Street",38.91613,-77.03572,Entire home/apt,280,2,37,2020-01-01,0.54,3,12
284165,Entire Two Floor Carriage House,783034,Ethan,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91571,-77.0177,Entire home/apt,99,10,75,2020-02-02,0.76,2,0
286083,Boutique penthouse near everything,62739,Amos,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93107,-77.03885,Entire home/apt,145,1,68,2019-12-25,0.70,1,333
290001,"Cozy Rowhouse Near Logan Circle, Convention Center",1505235,Jane,,"Shaw, Logan Circle",38.90968,-77.02747,Entire home/apt,150,2,131,2019-10-06,1.36,1,145
296196,Charming Dupont English Basement,1528235,Frank,,"Dupont Circle, Connecticut Avenue/K Street",38.91452,-77.03554,Entire home/apt,149,3,59,2020-02-16,0.61,1,256
299030,Red Room - Washington 1-2/p Bedroom near Metro,1541062,Donna,,"Colonial Village, Shepherd Park, North Portal Estates",38.98123,-77.02885,Private room,85,1,19,2019-06-30,0.20,2,365
303370,Entire Luxury Apartment,1275777,Michel,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91984,-77.04481,Entire home/apt,95,21,34,2019-12-13,0.36,1,51
303694,"Private DC Suite, Spacious + Modern",110003,Nick And Lylie,,"Brightwood Park, Crestwood, Petworth",38.94226,-77.01665,Entire home/apt,109,3,139,2019-10-28,1.44,1,0
303723,"Modern Private English Unit, Great Location",1563230,Gennet,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91662,-77.02539,Entire home/apt,120,2,169,2020-02-17,2.76,1,39
304188,Cool townhouse in Columbia Heights,1565502,Joel,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92413,-77.02878,Private room,65,1,423,2020-02-01,4.33,3,143
305783,Hb baño privado 3mi Capitol y metro,1323933,Neida,,"Sheridan, Barry Farm, Buena Vista",38.85618,-76.98689,Private room,90,5,2,2018-08-25,0.03,2,365
306465,Dupont Apt w/character;3-min walk metro!,767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,Entire home/apt,325,30,15,2019-04-06,0.16,4,365
313405,Blue Room - Washington 1-2p Bedroom Near Metro,1541062,Donna,,"Colonial Village, Shepherd Park, North Portal Estates",38.98052,-77.02992,Private room,75,1,7,2019-07-02,0.07,2,364
316270,"1BR Apt, full kitchen, steps2metro",1624394,Jen,,"Brightwood Park, Crestwood, Petworth",38.93807,-77.01982,Entire home/apt,83,1,199,2019-12-02,2.06,2,145
321642,Eastern Market english basement,1632216,Louisa,,"Capitol Hill, Lincoln Park",38.88212,-76.99944,Entire home/apt,140,1,135,2018-11-10,1.43,1,0
322610,Capitol Hill - Union Station,1651634,Lois,,"Union Station, Stanton Park, Kingman Park",38.89994,-77.00106,Entire home/apt,125,5,0,,,2,365
322611,"Capitol Hill, Union Station-huge",1651634,Lois,,"Union Station, Stanton Park, Kingman Park",38.90065,-77.00129,Entire home/apt,100,30,1,2019-09-20,0.19,2,364
339208,METRO ACCESSIBLE TWO BEDROOM APT,1722407,Wayne,,"Capitol View, Marshall Heights, Benning Heights",38.89057,-76.93442,Entire home/apt,75,4,111,2020-02-17,1.14,1,239
350687,DC 1 BR Private Apartment Parking Close to Metro,1539504,Autumn & Mitch,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93467,-77.0302,Entire home/apt,100,2,47,2019-07-01,0.49,2,0
355527,Steps for US Capitol .. and subway,1096793,Marina,,"Capitol Hill, Lincoln Park",38.88513,-77.00384,Entire home/apt,125,2,131,2020-02-15,1.35,1,228
373462,"Cap Hill 2.5 Bdr, metro close, walkable to Capitol",814151,Tiff,,"Capitol Hill, Lincoln Park",38.88394,-76.98212,Entire home/apt,175,2,165,2020-02-02,1.75,2,313
382111,Capitol Hill Historic District Apt!,1907809,Micha,,"Capitol Hill, Lincoln Park",38.89,-76.99466,Entire home/apt,175,3,234,2020-02-04,2.44,1,145
407014,"DC Apartment near White House, Mall",29711,The Remuzzi Brothers,,"Shaw, Logan Circle",38.911,-77.02074,Entire home/apt,139,2,398,2020-02-09,4.24,2,326
409582,1-br Capitol Hill apartment (Eastern Market),2038963,Kelly,,"Capitol Hill, Lincoln Park",38.88306,-76.99497,Entire home/apt,188,1,511,2020-01-23,5.34,1,298
416371,Perfect bedroom in VERY central DC,2070536,Joel,,"Dupont Circle, Connecticut Avenue/K Street",38.90945,-77.03591,Private room,150,2,119,2018-12-13,1.24,2,364
427825,Bloomingdale Victorian Row-house,1618591,Tolu,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91973,-77.01392,Entire home/apt,149,10,15,2019-12-02,0.17,1,218
437005,"The Buddha behind the ""Blue Door"" ",2170422,Greta,,Historic Anacostia,38.86124,-76.98865,Private room,60,2,103,2019-08-11,1.08,2,301
441177,Bedroom shared bath near lively U street,2192275,Valerie,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91814,-77.03373,Private room,80,1,0,,,1,88
442605,"Clean Apt w/Own Room, Own Bath, Near Metro",2196012,Anne,,"Brightwood Park, Crestwood, Petworth",38.94202,-77.02226,Private room,59,4,57,2020-02-15,0.62,1,39
450790,Private room & in-suite bath 10 min to Metro,2222558,David,,"Takoma, Brightwood, Manor Park",38.96816,-77.01988,Private room,45,1,136,2019-10-13,1.46,2,364
453159,1 block to metro-Capitol Hill Garden flat,40168,Crystal,,"Capitol Hill, Lincoln Park",38.87995,-76.98545,Entire home/apt,159,4,274,2020-02-08,2.95,1,162
453315,Efficiency suite in Capitol Hill,2252538,Adam And Jen,,"Union Station, Stanton Park, Kingman Park",38.8954,-76.98694,Entire home/apt,89,2,817,2020-02-11,8.63,1,232
458046,Capitol Hill Guest House,64814,Matt+Jean,,"Capitol Hill, Lincoln Park",38.88536,-77.00601,Entire home/apt,265,80,201,2018-08-04,2.16,3,0
464177,Luxury DC 1BR Next to National Zoo,2306542,Anil,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92859,-77.05629,Entire home/apt,162,1,89,2020-01-01,0.95,1,316
501623,"DC townhouse, 2BR/2BA, buses to downtown nearby",2475296,Daniel,,"Takoma, Brightwood, Manor Park",38.96644,-77.03348,Entire home/apt,98,5,2,2017-07-26,0.04,1,0
501809,Upstair Private Close to Everything,481929,Chris,,"Shaw, Logan Circle",38.91255,-77.01999,Private room,73,2,30,2019-08-23,0.38,4,188
519159,The Open Space - Stylish Artsy Home,1238901,Vanessa,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91516,-77.02953,Entire home/apt,490,4,23,2020-01-01,0.25,1,42
524237,"A Capitol View in Washington, D.C.",1569728,V,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.89334,-77.02109,Entire home/apt,295,1,34,2019-04-13,0.37,1,232
525672,Capitol Hill walk to US Capitol & 1 blk to Metro,2583808,Desiree,,"Capitol Hill, Lincoln Park",38.8814,-76.98874,Entire home/apt,85,2,202,2020-02-03,2.18,2,265
529077,Historic row house in Adams Morgan,2599368,Elham,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92671,-77.03972,Entire home/apt,125,3,0,,,1,0
538598,Walking Distance to the Capitol!,2645588,Justin,,"Union Station, Stanton Park, Kingman Park",38.89884,-76.9973,Entire home/apt,125,4,8,2019-10-27,0.17,1,0
542144,Ground floor apartment by Eastern Market metro,2666087,Rhea,,"Capitol Hill, Lincoln Park",38.88753,-76.99453,Entire home/apt,145,1,28,2019-08-17,0.37,1,29
555749,"Unique, beautiful home; amazing “it” neighborhood",2657160,Jacquelyn,,"Shaw, Logan Circle",38.91236,-77.03178,Entire home/apt,275,4,28,2019-07-07,0.30,1,42
560341,Business Economy Room-DC Best Value,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94314,-77.04345,Private room,59,30,22,2014-10-30,0.24,5,51
561697,Spacious Downtown DC Apartment,2761762,Russell,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91101,-77.00776,Entire home/apt,102,2,307,2020-02-19,3.33,3,123
584663,"Ideal Location, Walk to Metro",2880844,Julie,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92561,-77.04565,Entire home/apt,90,1,48,2017-12-02,0.52,1,35
584885,Amazing Studio Steps to Georgetown,2131753,Shannon,,"West End, Foggy Bottom, GWU",38.90317,-77.05076,Entire home/apt,129,29,14,2019-11-30,0.22,12,0
586981,Cool townhouse in Columbia Heights2,1565502,Joel,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92414,-77.0285,Private room,60,1,408,2020-02-06,4.46,3,161
594394,Lovely upstairs room in Georgetown!,2935817,Kirby,,"Georgetown, Burleith/Hillandale",38.91528,-77.0745,Private room,65,20,37,2020-02-01,0.46,4,295
594405,Huge upstairs room in Georgetown!,2935817,Kirby,,"Georgetown, Burleith/Hillandale",38.91426,-77.07579,Private room,65,6,6,2014-10-17,0.07,4,0
597862,Capitol Hill Room Steps from Metro,2789299,Jennifer,,"Capitol Hill, Lincoln Park",38.8817,-76.98696,Private room,35,2,11,2019-08-30,0.15,2,0
601180,DC Farmhouse w/ parking near metro,2975257,Bob,,"North Cleveland Park, Forest Hills, Van Ness",38.94935,-77.05946,Private room,190,2,0,,,1,365
610655,Beautiful Condo In NW Washington DC,3027744,Deon,,"Brightwood Park, Crestwood, Petworth",38.95802,-77.02202,Entire home/apt,79,2,155,2019-04-18,1.71,1,0
620849,Convenience with character.,617470,Lish,,"Shaw, Logan Circle",38.90694,-77.03203,Entire home/apt,115,2,51,2016-07-14,0.56,1,0
621201,Great studio adamsmorgan dupont ,2902827,Pia,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91737,-77.0441,Entire home/apt,45,1,0,,,1,0
623476,Victorian Townhouse from Gilded Age,2799609,Ahmet,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91947,-77.01187,Entire home/apt,250,14,0,,,1,0
626868,"Cooper Circle Apt.  Walk to Metro, Shaw, U St.",3111772,Austin,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91492,-77.01724,Entire home/apt,150,2,83,2019-10-24,0.94,4,320
630062,"Large House, Parking, Walk to Metro",3111772,Austin,,"Howard University, Le Droit Park, Cardozo/Shaw",38.9158,-77.01674,Entire home/apt,300,2,75,2020-01-01,0.90,4,227
635399,Sunny Dupont Pied-à-terre,3165756,Strother,,"Dupont Circle, Connecticut Avenue/K Street",38.90767,-77.0396,Entire home/apt,125,180,16,2014-05-05,0.18,1,365
648093,Booming with Light Cozy Row-house,3250527,Rodrigo,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91574,-77.0058,Entire home/apt,120,3,8,2020-01-01,0.09,1,0
653865,Quaint Private Bedroom in Takoma DC,3288651,Sheryl,,"Takoma, Brightwood, Manor Park",38.97122,-77.01537,Private room,55,2,13,2019-08-31,0.15,3,365
667954,Neat small private bedroom in a strategic location,1313111,Rossen,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91502,-77.00153,Private room,55,2,446,2020-02-07,4.91,1,306
669941,"Adorable, Spacious, Steps to Metro",3393172,Roya,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92934,-77.03088,Entire home/apt,125,4,236,2020-01-14,2.69,2,311
674940,Capitol Court - 2 blocks to US Capitol Bldg!,17633,Charlotte (& Anna-Regina),,"Union Station, Stanton Park, Kingman Park",38.89705,-77.00146,Entire home/apt,150,3,77,2019-10-09,0.86,54,0
688914,Master BR and Bath in Sunny TH,3517743,Kanita,,"Douglas, Shipley Terrace",38.84948,-76.97921,Private room,150,2,1,2019-06-17,0.12,4,274
694383,Beautiful apart_ Cathedral area,1730861,Frances,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.9289,-77.08415,Entire home/apt,135,2,4,2013-08-20,0.05,1,51
705901,NW DC Single Family Rowhouse-Luxury,3626877,Rodney,,"Brightwood Park, Crestwood, Petworth",38.93841,-77.01746,Private room,120,2,6,2018-08-09,0.09,1,179
713529,03. The perfect Baseball fans hangout,3672670,Dennis,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.87182,-77.01231,Private room,60,1,504,2020-02-02,5.83,16,163
722114,Cool Columbia Heights Garden Apt.,1565502,Joel,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92537,-77.02761,Entire home/apt,99,1,468,2020-02-02,5.23,3,157
748316,Cozy Cabin in the City on Cap Hill,1399272,Ken,,"Union Station, Stanton Park, Kingman Park",38.89532,-76.98873,Entire home/apt,99,2,655,2020-02-22,7.39,2,173
754037,Bed and Bath in Large Condo in DC,3966901,James,,"Sheridan, Barry Farm, Buena Vista",38.86048,-76.98921,Private room,62,2,11,2018-07-29,0.17,1,352
