id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zipcode,geometry
25825285,"Washington DC near Metro free WiFi, TV,  sofa bed",125670628,Karen,,"Capitol Hill, Lincoln Park",38.87938,-76.98309,Private room,35,1,1,2018-10-02,0.06,4,0,20003,POINT (-76.98309 38.87938)
25827474,Ease & Comfort - Skylit retreat in the heart of DC,3216286,Daniel,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.924009999999996,-77.02594,Entire home/apt,209,2,78,2020-02-20,6.84,1,192,20010,POINT (-77.02594000000001 38.92401)
25836175,Private Room in Petworth/DC,4648242,Evens,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.95189,-77.01043,Private room,60,3,4,2019-08-10,0.27,3,365,20011,POINT (-77.01043 38.95189)
25842292,Charming 3BR-2BA Townhouse Sofa Bed & Free Parking,9863521,Brantley,,"Congress Heights, Bellevue, Washington Highlands",38.834270000000004,-76.99803,Entire home/apt,150,2,37,2020-01-24,1.78,1,90,20032,POINT (-76.99803 38.83427)
25842365,Capitol Casa ☆ FREE street PARKING - pass provided,194167972,Diego,,"Union Station, Stanton Park, Kingman Park",38.89891,-76.9889,Entire home/apt,90,5,43,2019-11-13,2.13,1,40,20002,POINT (-76.9889 38.89891)
25854737,Private Studio Close to Metro,12051163,Vincent & Leah,,"North Michigan Park, Michigan Park, University Heights",38.9397,-76.99410999999999,Entire home/apt,85,1,8,2020-02-06,2.58,1,13,20017,POINT (-76.99410999999999 38.9397)
25860676,Charming Capitol Hill/H-Street Townhouse,7656095,Josh,,"Union Station, Stanton Park, Kingman Park",38.89865,-76.99299,Entire home/apt,250,3,0,,,1,87,20002,POINT (-76.99299000000001 38.89865)
25868957,Anacostia Park Apts!!,194357766,Samilia,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.87209,-76.97485999999999,Entire home/apt,125,2,42,2020-01-01,2.07,1,322,20020,POINT (-76.97485999999999 38.87209)
25869048,Charles House #1B,189066137,Charles,,"Sheridan, Barry Farm, Buena Vista",38.860440000000004,-76.9954,Private room,55,2,20,2019-05-26,0.97,5,12,20003,POINT (-76.9954 38.86044)
25891240,DC Loft Oasis,6850554,Mary,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9143,-77.01154,Entire home/apt,130,2,0,,,1,179,20001,POINT (-77.01154 38.9143)
25891583,Southern Hospitality-2Br Condo near JBAB & MGM,102751262,Eb,,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",38.85151,-76.96384,Private room,125,2,8,2018-08-20,0.39,1,357,20020,POINT (-76.96384 38.85151)
25892279,Experience Historic Townhouse Life in Dupont East,182058146,Elisabeth,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91596,-77.03412,Private room,120,5,6,2019-07-26,0.31,2,0,20009,POINT (-77.03412 38.91596)
25896860,Luxury 2 bedroom apartment w/ free parking,194610108,Anastasia,,"Brookland, Brentwood, Langdon",38.92592,-76.98804,Entire home/apt,147,2,95,2020-02-02,4.89,1,286,20017,POINT (-76.98804 38.92592)
25898050,Renovated Downtown Apt. B close to Metro & Capitol,35829739,Sean,,"Union Station, Stanton Park, Kingman Park",38.90186,-76.99153000000001,Entire home/apt,85,2,84,2020-02-10,4.12,3,345,20002,POINT (-76.99153000000001 38.90186)
25910521,Cozy room in large family home with a great yard!,45509940,Autumn,,"Takoma, Brightwood, Manor Park",38.97039,-77.02186999999999,Private room,40,10,1,2018-07-21,0.05,3,250,20012,POINT (-77.02186999999999 38.97039)
25913368,Garden level suite by American University,37494995,Sima,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.93181,-77.08889,Private room,125,3,10,2019-10-26,0.49,3,361,20016,POINT (-77.08889000000001 38.93181)
25917252,Stylish Capitol Hill 1 Br.  King bed.  Soaker tub,23336460,Dennis,,"Union Station, Stanton Park, Kingman Park",38.89479,-76.98369,Entire home/apt,140,2,29,2019-11-08,1.46,1,0,20002,POINT (-76.98369 38.89479)
25917627,In the heart of DC;  Professional Owner,84783119,Kevin,,"Shaw, Logan Circle",38.90702,-77.03357,Shared room,195,1,0,,,1,0,20005,POINT (-77.03357 38.90702)
25920062,"Modern, cozy one-bedroom apartment on Capitol Hill",17038033,Savannah,,"Union Station, Stanton Park, Kingman Park",38.894690000000004,-76.97994,Entire home/apt,95,2,60,2020-02-16,4.89,1,81,20002,POINT (-76.97994 38.89469)
25935317,Here it is - the one you’ve been looking for!,194941190,Greg And Kristy,,"Union Station, Stanton Park, Kingman Park",38.89326,-76.9808,Entire home/apt,70,2,121,2020-02-16,6.03,1,9,20003,POINT (-76.9808 38.89326)
